Time,Junction 1,Big Roundabout,Junction 2,Junction 3,Junction 4,Junction 5
0,0,0,0,0,0,1
1,0,0,0,0,0,1
2,0,0,0,0,0,1
3,0,0,0,0,0,1
4,0,1,0,0,0,1
5,0,1,0,0,0,1
6,0,1,0,0,0,1
7,0,1,0,0,0,1
8,0,1,0,0,0,1
9,0,1,0,0,0,0
10,0,1,0,0,0,0
11,0,1,0,0,0,0
12,0,1,0,0,0,0
13,0,1,0,0,0,0
14,0,2,0,0,0,0
15,0,1,0,0,0,0
16,0,1,0,0,0,0
17,0,1,0,0,0,0
18,0,1,0,0,0,0
19,0,1,0,0,0,0
20,0,1,0,0,0,0
21,0,1,0,0,0,0
22,0,1,0,0,0,0
23,0,2,0,0,0,0
24,0,2,0,0,0,0
25,0,2,0,0,0,0
26,0,2,0,0,0,0
27,0,1,0,0,0,0
28,0,1,0,0,0,0
29,0,1,0,0,0,0
30,0,1,0,0,0,0
31,0,1,0,0,0,1
32,0,0,0,0,0,1
33,0,0,0,0,0,1
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,1,0,0
38,0,0,0,1,0,0
39,0,0,0,1,0,1
40,0,0,0,2,0,1
41,0,0,0,2,0,1
42,0,2,0,2,0,1
43,0,2,0,2,0,0
44,1,2,1,2,0,0
45,1,2,1,1,0,0
46,1,2,1,1,0,0
47,1,2,1,1,0,0
48,1,2,1,0,0,0
49,1,2,1,0,0,0
50,0,2,1,0,0,0
51,0,2,1,1,0,0
52,0,1,1,1,0,0
53,0,1,1,1,1,0
54,0,1,0,1,1,0
55,0,1,0,1,1,0
56,0,1,1,1,1,0
57,0,1,1,0,1,0
58,0,1,1,0,1,0
59,0,1,1,0,1,0
60,1,1,1,0,1,0
61,1,1,1,0,0,0
62,1,1,1,0,0,0
63,1,1,1,0,0,0
64,1,0,1,0,0,0
65,1,0,0,1,0,0
66,1,0,0,1,0,0
67,1,0,0,1,0,0
68,1,0,0,1,0,0
69,0,0,0,2,0,0
70,0,0,0,2,0,0
71,0,0,0,2,0,0
72,0,1,0,2,0,0
73,0,1,0,2,0,0
74,0,1,0,1,0,1
75,0,1,0,1,0,1
76,0,1,0,1,0,1
77,0,1,0,2,0,2
78,0,1,0,2,0,1
79,0,1,0,2,0,1
80,0,1,0,2,0,0
81,0,1,0,2,0,0
82,0,1,0,2,0,0
83,0,1,0,1,0,0
84,0,1,0,1,0,0
85,0,1,0,1,0,0
86,0,1,0,0,0,0
87,0,1,0,0,0,0
88,0,1,1,0,0,0
89,0,1,2,0,0,0
90,0,1,2,1,0,0
91,0,1,2,1,0,0
92,1,1,2,1,0,0
93,1,0,2,1,0,0
94,1,0,3,1,0,0
95,0,0,3,1,0,0
96,0,1,3,1,0,0
97,0,1,3,1,0,0
98,0,1,2,1,0,1
99,0,1,2,0,0,1
100,0,1,1,0,0,1
101,0,1,1,0,0,2
102,0,1,1,0,0,1
103,0,1,1,0,0,1
104,0,1,0,0,0,1
105,0,1,0,1,0,1
106,0,0,0,1,0,1
107,0,0,0,1,0,1
108,0,0,0,2,0,1
109,1,0,0,2,1,1
110,1,0,0,0,1,1
111,1,0,0,0,1,1
112,1,0,0,1,1,0
113,1,0,0,1,1,0
114,0,0,0,1,3,0
115,0,0,0,1,3,0
116,0,1,0,1,3,1
117,0,1,0,1,2,1
118,0,1,0,1,2,1
119,0,1,0,1,2,1
120,0,2,1,0,2,0
121,0,2,1,0,2,0
122,0,3,1,0,3,0
123,0,3,1,0,3,0
124,0,3,1,0,2,0
125,0,3,1,0,2,0
126,0,3,1,0,2,0
127,0,3,1,0,2,0
